1;Emily;Walker;1998-03-14;789 Pine Road, Chicago, IL 60601
2;Edward;Martinez;2002-01-29;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011
3;Lisa;White;1988-05-01;333 River Road, Seattle, WA 98101
4;Ronald;Jackson;2000-03-08;Table Mountain Rd, Cape Town, South Africa 8001
5;Dennis;Anderson;1985-01-02;753 Willow Avenue, San Diego, CA 92101
6;Stephanie;Lopez;1982-12-30;Piazza San Marco 1, Venice, Italy 30124
7;Ronald;Martin;1988-06-16;Shibuya Crossing 2, Tokyo, Japan 150-0043
8;Jonathan;Campbell;1999-12-22;Burj Khalifa 1, Dubai, UAE
9;Charles;Moore;1978-07-26;Marina Bay Sands 10, Singapore 018956
10;Samuel;Ramirez;1964-03-28;321 Elm Boulevard, Houston, TX 77001
11;Benjamin;Hernandez;1982-05-05;864 Palm Drive, San Jose, CA 95101
12;Lisa;Thomas;1993-12-30;Red Square 1, Moscow, Russia 109012
13;Patricia;Taylor;1972-09-03;456 Oak Avenue, Los Angeles, CA 90001
14;Daniel;Jones;1963-10-04;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011
15;Michelle;Rodriguez;1977-04-11;159 Birch Street, San Antonio, TX 78201
16;Timothy;Allen;1970-06-27;864 Palm Drive, San Jose, CA 95101
17;Amanda;Hall;1975-09-02;Sydney Opera House, Sydney, Australia 2000
18;Dorothy;Campbell;2006-11-05;Taj Mahal, Agra, India 282001
19;Nicole;Ramirez;1975-08-17;333 River Road, Seattle, WA 98101
20;Jack;Mitchell;1994-01-06;CN Tower 301, Toronto, Canada M5V 2T6
21;Jennifer;King;1985-08-17;Burj Khalifa 1, Dubai, UAE
22;Susan;Allen;1982-11-04;Shibuya Crossing 2, Tokyo, Japan 150-0043
23;Nicholas;Walker;1976-01-21;753 Willow Avenue, San Diego, CA 92101
24;Melissa;Young;1977-03-17;Burj Khalifa 1, Dubai, UAE
25;Brian;Jackson;1972-12-13;753 Willow Avenue, San Diego, CA 92101
26;Amy;Lee;1996-12-17;753 Willow Avenue, San Diego, CA 92101
27;Dennis;Brown;1965-04-23;123 Main Street, New York, NY 10001
28;Edward;Martinez;1997-02-06;321 Elm Boulevard, Houston, TX 77001
29;Nicholas;Adams;1996-04-10;CN Tower 301, Toronto, Canada M5V 2T6
30;Sarah;White;1969-05-31;Sagrada Família 401, Barcelona, Spain 08013
31;Joshua;Thompson;1982-03-22;Brandenburger Tor 1, Berlin, Germany 10117
32;Donald;Campbell;1995-08-05;Burj Khalifa 1, Dubai, UAE
33;Rachel;Lee;1988-10-11;Sagrada Família 401, Barcelona, Spain 08013
34;Carol;Thompson;2005-07-29;333 River Road, Seattle, WA 98101
35;Anthony;Baker;1967-10-24;864 Palm Drive, San Jose, CA 95101
36;Jonathan;Baker;1981-05-09;456 Oak Avenue, Los Angeles, CA 90001
37;Donna;Hernandez;1974-08-29;Forbidden City 4, Beijing, China 100006
38;Patrick;Martinez;1973-11-25;456 Oak Avenue, Los Angeles, CA 90001
39;David;Williams;1972-04-19;Sydney Opera House, Sydney, Australia 2000
40;Virginia;Allen;1963-03-12;Shibuya Crossing 2, Tokyo, Japan 150-0043
41;Deborah;Sanchez;1974-03-22;864 Palm Drive, San Jose, CA 95101
42;Janet;Torres;1980-10-11;Brandenburger Tor 1, Berlin, Germany 10117
43;Janet;Jackson;1995-05-03;864 Palm Drive, San Jose, CA 95101
44;Michelle;King;1993-12-23;Red Square 1, Moscow, Russia 109012
45;Kathleen;Wright;1964-10-17;222 Park Avenue, Boston, MA 02101
46;Paul;Lewis;1980-12-19;Brandenburger Tor 1, Berlin, Germany 10117
47;Thomas;Davis;2003-08-01;Gyeongbokgung Palace 161, Seoul, South Korea 03045
48;Timothy;Hall;1964-05-27;Forbidden City 4, Beijing, China 100006
49;Brenda;Clark;1985-01-05;987 Cedar Lane, Philadelphia, PA 19101
50;Dorothy;Young;1976-02-10;Table Mountain Rd, Cape Town, South Africa 8001
51;John;Sanchez;1963-03-21;654 Maple Drive, Phoenix, AZ 85001
52;Kenneth;Jackson;1976-05-11;Sagrada Família 401, Barcelona, Spain 08013
53;Mary;Roberts;2001-06-12;789 Pine Road, Chicago, IL 60601
54;Timothy;Young;1964-05-24;Champs-Élysées 75, Paris, France 75008
55;John;Johnson;1978-03-09;246 Spruce Road, Dallas, TX 75201
56;Charles;Martin;1979-06-21;Forbidden City 4, Beijing, China 100006
57;Thomas;Hernandez;1984-08-26;753 Willow Avenue, San Diego, CA 92101
58;Donna;Miller;1974-07-25;753 Willow Avenue, San Diego, CA 92101
59;Joshua;Young;2006-01-29;753 Willow Avenue, San Diego, CA 92101
60;John;Ramirez;1966-11-04;Marina Bay Sands 10, Singapore 018956
61;Nicole;Allen;1972-09-09;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011
62;James;Johnson;1983-02-17;246 Spruce Road, Dallas, TX 75201
63;Helen;Mitchell;2002-06-16;Burj Khalifa 1, Dubai, UAE
64;Charles;Moore;1966-10-10;Piazza San Marco 1, Venice, Italy 30124
65;Samuel;Moore;1989-02-10;Gyeongbokgung Palace 161, Seoul, South Korea 03045
66;Raymond;Rodriguez;1966-05-05;159 Birch Street, San Antonio, TX 78201
67;Alexander;Nelson;2005-04-07;666 Ocean Avenue, Miami, FL 33101
68;Elizabeth;Carter;1984-11-09;Forbidden City 4, Beijing, China 100006
69;Gary;Sanchez;1981-03-03;CN Tower 301, Toronto, Canada M5V 2T6
70;Joshua;Scott;1964-08-17;987 Cedar Lane, Philadelphia, PA 19101
71;Nancy;Garcia;1961-08-26;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011
72;Maria;Young;1980-09-21;321 Elm Boulevard, Houston, TX 77001
73;Patrick;Davis;1967-02-24;222 Park Avenue, Boston, MA 02101
74;Helen;Robinson;1986-06-21;246 Spruce Road, Dallas, TX 75201
75;Virginia;Martinez;1963-12-18;246 Spruce Road, Dallas, TX 75201
76;Benjamin;Wilson;1977-11-26;753 Willow Avenue, San Diego, CA 92101
