1;793;Daniel;Robinson;0;4.78;1985-09-24;222 Park Avenue, Boston, MA 02101;3789734823
2;733;Michael;Hernandez;14;3.37;1971-05-31;Forbidden City 4, Beijing, China 100006;1964501280
3;116;Michael;Scott;0;4.67;1991-09-14;Brandenburger Tor 1, Berlin, Germany 10117;662183316
4;127;Debra;Williams;21;4.4;1971-01-14;CN Tower 301, Toronto, Canada M5V 2T6;1534415078
5;447;Nicholas;Brown;48;3.96;2001-04-25;123 Main Street, New York, NY 10001;9180635362
6;385;Eric;Taylor;11;4.18;1966-06-02;246 Spruce Road, Dallas, TX 75201;9103149584
7;837;Samantha;Young;13;4.98;1991-06-15;159 Birch Street, San Antonio, TX 78201;3617637870
8;448;Sharon;Nelson;41;3.43;1998-07-30;456 Oak Avenue, Los Angeles, CA 90001;8456031843
9;209;Steven;Campbell;49;3.32;2001-07-02;159 Birch Street, San Antonio, TX 78201;5924215888
10;4;Susan;Campbell;49;4.15;1986-11-10;444 Lake View, Denver, CO 80201;4065205447
11;864;Timothy;Sanchez;32;3.57;1981-10-23;Taj Mahal, Agra, India 282001;8687375274
12;754;Ashley;Thompson;22;3.31;1966-02-19;Table Mountain Rd, Cape Town, South Africa 8001;7661080457
13;810;Susan;Rivera;21;4.31;1980-12-11;Gyeongbokgung Palace 161, Seoul, South Korea 03045;5268943946
14;144;Gary;Lopez;1;4.55;1977-08-20;Gyeongbokgung Palace 161, Seoul, South Korea 03045;5723040712
15;321;Linda;Williams;15;3.86;1977-11-11;123 Main Street, New York, NY 10001;4235293695
16;410;Justin;Miller;4;4.35;1969-01-22;123 Main Street, New York, NY 10001;7975379851
17;971;Janet;King;32;3.85;1962-11-24;789 Pine Road, Chicago, IL 60601;8754569972
18;500;Thomas;Allen;48;4.96;1988-02-18;123 Main Street, New York, NY 10001;708130005
19;990;Michelle;Green;40;3.68;1992-07-28;Sydney Opera House, Sydney, Australia 2000;2377597192
20;414;Emily;Jackson;17;4.67;1962-09-10;789 Pine Road, Chicago, IL 60601;8579691588
21;561;Kenneth;Carter;33;4.99;1962-11-19;333 River Road, Seattle, WA 98101;1171131355
22;15;Ronald;Garcia;45;3.48;1965-10-07;555 Mountain Street, Washington, DC 20001;6494556274
23;976;Rachel;Gonzalez;28;3.65;1977-03-26;Sagrada Família 401, Barcelona, Spain 08013;6868247748
24;644;James;Jones;42;3.32;1982-08-07;864 Palm Drive, San Jose, CA 95101;6649915044
25;952;Charles;Lee;29;4.47;2002-10-29;666 Ocean Avenue, Miami, FL 33101;4987714492
26;914;Karen;Wright;21;4.76;1964-08-20;CN Tower 301, Toronto, Canada M5V 2T6;9339521102
27;681;Matthew;Lopez;43;3.93;1996-08-21;654 Maple Drive, Phoenix, AZ 85001;8771583993
28;789;Richard;Williams;30;4.42;1987-08-28;222 Park Avenue, Boston, MA 02101;1418742068
29;294;George;Adams;29;3.45;2007-02-27;Piazza San Marco 1, Venice, Italy 30124;4192442630
30;420;Michael;Miller;40;3.14;1972-02-18;Sagrada Família 401, Barcelona, Spain 08013;4959467567
31;353;Samantha;Wilson;37;4.23;2002-05-05;Forbidden City 4, Beijing, China 100006;1578834825
32;752;Rachel;Martin;40;4.42;1992-05-19;222 Park Avenue, Boston, MA 02101;584154235
33;900;Nicole;Lopez;43;4.52;2002-11-12;789 Pine Road, Chicago, IL 60601;8735903380
34;25;Donald;Nelson;5;3.68;1995-10-26;222 Park Avenue, Boston, MA 02101;9106067892
35;288;Steven;Harris;3;3.37;1967-10-06;333 River Road, Seattle, WA 98101;5809717639
36;942;Betty;Hernandez;9;3.98;1979-03-08;CN Tower 301, Toronto, Canada M5V 2T6;6094195792
37;181;Andrew;Taylor;27;4.24;1964-09-18;555 Mountain Street, Washington, DC 20001;6754799400
38;918;Ruth;Wilson;50;3.82;1988-06-26;Sagrada Família 401, Barcelona, Spain 08013;5263039411
39;99;Ronald;Adams;14;3.32;1966-07-05;Burj Khalifa 1, Dubai, UAE;3028115347
40;946;Patrick;Harris;24;4.65;2000-05-20;555 Mountain Street, Washington, DC 20001;5549437281
41;405;Mark;Scott;28;3.29;1974-12-06;666 Ocean Avenue, Miami, FL 33101;4254438366
42;126;Mary;Wright;11;4.21;1961-12-12;Gyeongbokgung Palace 161, Seoul, South Korea 03045;7066152432
43;65;Melissa;White;30;4.34;1987-12-05;Table Mountain Rd, Cape Town, South Africa 8001;9178221280
44;444;Kathleen;Young;13;3.03;2001-09-15;Sagrada Família 401, Barcelona, Spain 08013;7376421899
45;889;Ashley;Perez;14;3.28;1977-03-06;Table Mountain Rd, Cape Town, South Africa 8001;2055016789
46;593;Christopher;Johnson;23;3.58;1971-02-28;666 Ocean Avenue, Miami, FL 33101;6268009820
47;281;Carolyn;Flores;38;3.52;1963-02-11;Gyeongbokgung Palace 161, Seoul, South Korea 03045;8176412626
48;69;Susan;Nguyen;0;4.27;1980-01-23;Brandenburger Tor 1, Berlin, Germany 10117;7902388960
49;323;Donna;Sanchez;8;4.83;1987-03-08;222 Park Avenue, Boston, MA 02101;7750299606
50;205;Justin;Hall;42;4.93;1975-01-22;Table Mountain Rd, Cape Town, South Africa 8001;8023393720
51;712;Cynthia;Campbell;6;4.45;1973-12-09;Shibuya Crossing 2, Tokyo, Japan 150-0043;8068980597
52;878;Ryan;Green;15;4.43;1965-08-16;666 Ocean Avenue, Miami, FL 33101;2075072978
53;86;Michelle;Rivera;1;3.92;1981-01-26;654 Maple Drive, Phoenix, AZ 85001;1526435682
54;852;Paul;Martinez;19;4.92;1968-09-15;666 Ocean Avenue, Miami, FL 33101;6945854283
55;446;Elizabeth;Lee;20;3.83;2006-08-25;444 Lake View, Denver, CO 80201;4623378110
56;801;Michael;Allen;38;4.29;1964-01-10;864 Palm Drive, San Jose, CA 95101;2292027082
57;101;Kimberly;Thomas;16;4.01;1961-01-28;Taj Mahal, Agra, India 282001;1398763371
58;950;Kenneth;Smith;49;3.8;1968-02-20;222 Park Avenue, Boston, MA 02101;2202743554
59;296;Laura;Thompson;24;4.95;1987-01-13;456 Oak Avenue, Los Angeles, CA 90001;6793817580
60;931;Samuel;Torres;21;3.59;1966-07-28;123 Main Street, New York, NY 10001;8958454343
61;471;Sarah;Nelson;13;4.24;1993-01-23;864 Palm Drive, San Jose, CA 95101;9172396270
62;85;Rebecca;Hill;33;4.68;2004-04-20;987 Cedar Lane, Philadelphia, PA 19101;5799029480
63;748;Dorothy;Taylor;15;4.86;1991-04-14;Taj Mahal, Agra, India 282001;4412704341
64;256;Margaret;White;4;4.32;1996-04-02;666 Ocean Avenue, Miami, FL 33101;6440491992
65;3;Gary;Hill;2;4.56;1978-03-25;321 Elm Boulevard, Houston, TX 77001;9172458057
66;165;Angela;Brown;23;4.97;2004-06-17;246 Spruce Road, Dallas, TX 75201;4210088033
67;483;Sarah;Robinson;27;4.16;1999-04-18;Sydney Opera House, Sydney, Australia 2000;2859371145
68;104;Samuel;Moore;3;3.1;1993-01-22;Gyeongbokgung Palace 161, Seoul, South Korea 03045;5671603359
69;604;Barbara;Williams;31;4.86;1986-02-18;666 Ocean Avenue, Miami, FL 33101;7443500098
70;244;Margaret;Young;36;4.58;1963-08-16;Shibuya Crossing 2, Tokyo, Japan 150-0043;3400169385
71;989;Robert;Williams;48;3.21;1993-10-30;666 Ocean Avenue, Miami, FL 33101;1067789958
72;736;Donald;Rodriguez;27;4.83;1966-09-15;Forbidden City 4, Beijing, China 100006;111754444
73;951;Andrew;Taylor;14;3.52;1998-09-27;Marina Bay Sands 10, Singapore 018956;9574612358
74;375;Alexander;Smith;38;3.04;1999-11-26;Shibuya Crossing 2, Tokyo, Japan 150-0043;623742866
75;213;Kenneth;Nguyen;47;4.34;1998-06-03;Shibuya Crossing 2, Tokyo, Japan 150-0043;5684635513
76;489;Jason;Hall;31;4.36;1983-06-01;987 Cedar Lane, Philadelphia, PA 19101;6461184159
77;462;Jack;Hernandez;36;4.22;1972-02-21;Gyeongbokgung Palace 161, Seoul, South Korea 03045;4253080030
78;394;Steven;Wilson;12;4.65;1973-09-24;222 Park Avenue, Boston, MA 02101;1591118724
79;210;Jason;Wilson;25;4.24;1974-03-26;Burj Khalifa 1, Dubai, UAE;2637891264
80;620;Kevin;Campbell;4;5.01;1995-04-18;444 Lake View, Denver, CO 80201;8897780861
81;549;Carolyn;Thompson;8;3.32;1966-04-21;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;1030093458
82;452;William;Martinez;50;3.48;1981-04-26;753 Willow Avenue, San Diego, CA 92101;9809736518
83;863;Rebecca;Rivera;13;3.44;1996-04-25;Sydney Opera House, Sydney, Australia 2000;794430689
84;713;Debra;Ramirez;26;3.53;1966-12-29;753 Willow Avenue, San Diego, CA 92101;7621853136
85;214;James;Hall;23;3.59;1994-05-13;987 Cedar Lane, Philadelphia, PA 19101;6531628489
86;231;Kathleen;Gonzalez;26;4.43;2005-11-26;Marina Bay Sands 10, Singapore 018956;3604502974
87;599;Nancy;Hall;43;3.68;1972-12-09;Brandenburger Tor 1, Berlin, Germany 10117;7134387655
88;956;Carol;Garcia;14;3.39;1991-02-27;246 Spruce Road, Dallas, TX 75201;6048364972
89;356;Brian;Jackson;35;4.95;1981-05-04;Piazza San Marco 1, Venice, Italy 30124;7045552954
90;776;Justin;Johnson;44;3.42;1975-12-03;Shibuya Crossing 2, Tokyo, Japan 150-0043;8970220794
91;337;Kenneth;Ramirez;0;5.0;1985-12-12;444 Lake View, Denver, CO 80201;4053385323
92;454;Susan;Martinez;3;3.97;2000-05-14;222 Park Avenue, Boston, MA 02101;7683521699
93;511;Donna;Carter;7;4.1;2004-11-11;246 Spruce Road, Dallas, TX 75201;5037624883
94;458;Pamela;Miller;8;4.79;2000-09-03;Burj Khalifa 1, Dubai, UAE;639386238
95;248;Michelle;Williams;31;3.03;1983-02-19;Champs-Élysées 75, Paris, France 75008;5245763867
96;747;Charles;Walker;18;3.49;2001-07-13;Gyeongbokgung Palace 161, Seoul, South Korea 03045;412420045
97;969;Brian;Jackson;35;3.27;1973-01-26;Taj Mahal, Agra, India 282001;8343660571
