1;Donna;Flores;1995-02-01;Piazza San Marco 1, Venice, Italy 30124
2;Katherine;Young;2002-03-14;246 Spruce Road, Dallas, TX 75201
3;Catherine;Lopez;1963-03-05;987 Cedar Lane, Philadelphia, PA 19101
4;Patricia;Williams;1999-09-18;Gyeongbokgung Palace 161, Seoul, South Korea 03045
5;George;Sanchez;1961-04-09;Table Mountain Rd, Cape Town, South Africa 8001
6;Angela;Anderson;2005-12-24;Marina Bay Sands 10, Singapore 018956
7;Gary;Young;2005-06-27;444 Lake View, Denver, CO 80201
8;Nancy;Thompson;1986-08-08;123 Main Street, New York, NY 10001
9;Nicole;King;1992-01-30;246 Spruce Road, Dallas, TX 75201
10;Laura;Johnson;1999-10-22;123 Main Street, New York, NY 10001
11;Edward;Johnson;1988-07-10;Table Mountain Rd, Cape Town, South Africa 8001
12;Emily;Rodriguez;1970-04-20;Piazza San Marco 1, Venice, Italy 30124
13;Kenneth;Lopez;2001-10-09;555 Mountain Street, Washington, DC 20001
14;Debra;Nelson;1968-03-13;Forbidden City 4, Beijing, China 100006
15;Patricia;Adams;1986-05-02;Burj Khalifa 1, Dubai, UAE
16;Sandra;Brown;1989-01-12;Burj Khalifa 1, Dubai, UAE
17;Jessica;Torres;1992-06-26;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011
18;Nancy;Smith;1967-11-20;222 Park Avenue, Boston, MA 02101
19;Richard;Lopez;1966-11-29;456 Oak Avenue, Los Angeles, CA 90001
20;Richard;Robinson;1997-10-15;Taj Mahal, Agra, India 282001
21;Brian;Martin;1985-07-27;456 Oak Avenue, Los Angeles, CA 90001
22;Michelle;Thompson;1984-07-29;Red Square 1, Moscow, Russia 109012
23;Laura;Mitchell;1987-04-03;987 Cedar Lane, Philadelphia, PA 19101
24;Carolyn;Flores;1979-05-20;987 Cedar Lane, Philadelphia, PA 19101
25;Gregory;Mitchell;1964-08-08;753 Willow Avenue, San Diego, CA 92101
26;Catherine;Nelson;1996-08-10;Marina Bay Sands 10, Singapore 018956
27;William;Scott;1971-10-03;159 Birch Street, San Antonio, TX 78201
28;Pamela;Walker;1980-04-11;Shibuya Crossing 2, Tokyo, Japan 150-0043
29;Paul;Anderson;1974-03-13;Taj Mahal, Agra, India 282001
30;Jessica;Adams;1977-03-20;Brandenburger Tor 1, Berlin, Germany 10117
31;Robert;Thompson;1963-05-28;Piazza San Marco 1, Venice, Italy 30124
32;Sharon;Brown;1992-05-01;Piazza San Marco 1, Venice, Italy 30124
33;Kevin;Taylor;2001-09-22;Piazza San Marco 1, Venice, Italy 30124
34;Ryan;Carter;1964-03-22;Sagrada Família 401, Barcelona, Spain 08013
35;Timothy;Wright;2006-09-16;Forbidden City 4, Beijing, China 100006
36;Amanda;Rodriguez;1996-01-17;Sagrada Família 401, Barcelona, Spain 08013
37;Virginia;Lewis;1988-02-01;Red Square 1, Moscow, Russia 109012
38;Daniel;Williams;1976-04-06;987 Cedar Lane, Philadelphia, PA 19101
39;Amanda;Anderson;1965-08-13;555 Mountain Street, Washington, DC 20001
40;Gary;White;1968-04-26;Shibuya Crossing 2, Tokyo, Japan 150-0043
41;Maria;Scott;1971-04-23;753 Willow Avenue, San Diego, CA 92101
42;Cynthia;Rodriguez;1980-05-15;Taj Mahal, Agra, India 282001
43;Pamela;Adams;1970-02-21;Burj Khalifa 1, Dubai, UAE
44;Brian;Garcia;1973-04-05;Shibuya Crossing 2, Tokyo, Japan 150-0043
45;Larry;Green;1961-05-10;Table Mountain Rd, Cape Town, South Africa 8001
46;Anthony;Lewis;1963-05-14;444 Lake View, Denver, CO 80201
